bird,uuid,sex,group,age,sire,sibling,behavior,probe
C269,ce3f460c,F,CR,98,C6,1,yes,yes
C280,44574e3b,M,CR,92,G79,2.5,yes,yes
C291,a80c83e4,F,CR,74,C206,4,yes,yes
C293,f99d84c6,F,PR,60,C49,4,yes,yes
C294,5fe506e3,M,PR,61,C49,4,yes,yes
C235,6b3f25d1,M,CR,121,P58,3,yes,no
C250,e1fd2b24,F,PR,81,P113,5,yes,no
C193,ed7cf001,M,PR,75,P166,2,yes,no
C191,034dafcb,F,PR,79,P166,2,yes,yes
C197,986382be,F,CR,65,C32,1,yes,no
Rb255,e9d65c7c,M,CR,108,P166,3,yes,no
Rb266,9fad3c8a,M,PR,76,P152,5,yes,no
Rb256,a27f474e,F,CR,80,P166,3,yes,no
Rb272,b486f544,M,CR,74,C6,4,yes,no
Rb276,acaaf277,F,CR,60,C32,2,yes,no
Rb279,2aa653e5,M,CR,61,C16,3,yes,no
Rb284,dceab3c7,F,PR,67,C206,1,yes,yes
Rb299,8b472afa,M,PR,75,C242,1,yes,yes
Rb300,4db0aaac,F,PR,73,C242,1,yes,no
C313,164e007a,F,PR,70,C16,0,yes,yes
C114,cec999a5,F,CR,70,P104,NA,yes,no
C155,52e9218a,M,CR,94,Rb202,NA,yes,no
Rb261,1e853c0d,F,CR,63,C98,NA,yes,no
Rb268,f4ec9e14,M,CR,68,C55,NA,yes,no
Rb246,d4ecfbdb,M,PR,66,C80,NA,yes,no
C342,432ba75f,F,PR,55,P152,3,yes,no
C24,3fe04228,M,CR,98,P29,3,no,no
C29,636e3b6c,F,CR,100,P92,3,no,no
C31,6d0caa42,M,PR,108,C5,2,no,no
C41,d8d22a36,M,PR,104,C2,4,no,no
C45,9ed0ae4d,M,PR,105,C2,4,no,no
C42,4d74f78c,M,PR,110,C2,4,no,no
C44,471dcc13,M,PR,111,C2,4,no,no
C60,da899092,M,CR,106,P108,4,no,no
P158,29b3baf2,F,CR,94,P91,2,no,no
R227,a6a30bb5,F,PR,95,P29,4,no,no
R229,098832ed,F,PR,98,P29,4,no,no
C105,88b5d1e4,F,CR,96,C36,2,no,no
C104,5abf46a5,F,CR,105,C36,2,no,no
C195,9400c548,M,CR,104,Rb202,1,no,no
C194,4e7ac2de,M,CR,109,Rb202,NA,no,no
Rb291,71c45b37,F,CR,94,C80,1,no,no
